foreign_id,stage_l,discharge_l
SQWCR01,876.247,0
SQWCR01,884.652,3349.74
SQWCR01,886.23,6563.37
SQWCR01,887.116,9060.19
SQWCR01,888.035,12444.5
SQWCR01,888.576,15068.3
SQWCR01,889.058,17807.4
SQWCR01,889.488,20548.1
SQWCR02,891.995,0
SQWCR02,899.528,3153.25
SQWCR02,901.132,6213.3
SQWCR02,901.936,8600.25
SQWCR02,902.864,11841.2
SQWCR02,903.543,14357.2
SQWCR02,904.213,16984.8
SQWCR02,904.839,19615.2
WLFCR01,803.186,0
WLFCR01,807.654,20.3766
WLFCR01,812.549,1018.83
WLFCR01,813.816,2037.66
WLFCR01,814.711,3056.48
WLFCR01,815.469,4075.31
WLFCR01,817.11,7840.35
WLFCR01,817.776,10728.1
WLFCR01,818.451,14621.2
WLFCR01,818.927,17626
WLFCR01,819.386,20759.7
WLFCR01,819.77,23889.9
WLLWCR01,1100.46,0
WLLWCR01,1105.44,44.3905
WLLWCR01,1106.94,221.953
WLLWCR01,1107.88,443.87
WLLWCR01,1108.62,665.823
WLLWCR01,1109.21,887.775
WLLWCR01,1110.57,1803.48
WLLWCR01,1111.27,2529.52
WLLWCR01,1112.04,3575.54
WLLWCR01,1112.56,4405.05
WLLWCR01,1113.01,5241.16
WLLWCR01,1113.51,6165.38
WLLWCR02,1108.43,0
WLLWCR02,1111.34,44.3905
WLLWCR02,1112.7,221.953
WLLWCR02,1113.67,443.87
WLLWCR02,1114.36,665.823
WLLWCR02,1114.93,887.775
WLLWCR02,1116.48,1803.48
WLLWCR02,1117.3,2529.52
WLLWCR02,1118.26,3575.54
WLLWCR02,1118.89,4405.05
WLLWCR02,1119.41,5241.16
WLLWCR02,1119.89,6165.38
WLLWCR-IC01,659.741,0
WLLWCR-IC01,659.892,14.6909
WLLWCR-IC01,660.279,73.4898
WLLWCR-IC01,660.705,146.98
WLLWCR-IC01,661.102,220.434
WLLWCR-IC01,661.49,293.924
WLLWCR-IC01,663.317,722.644
WLLWCR-IC01,664.386,1112.73
WLLWCR-IC01,665.614,1683.45
WLLWCR-IC01,666.371,2152.85
WLLWCR-IC01,667.014,2653.4
WLLWCR-IC01,667.559,3166.45
WNBGORV02,1059.7,0
WNBGORV02,1066.25,136.032
WNBGORV02,1068.41,680.125
WNBGORV02,1069.96,1360.29
WNBGORV02,1071,2040.41
WNBGORV02,1071.86,2720.54
WNBGORV02,1074.12,5073.34
WNBGORV02,1075,6835.47
WNBGORV02,1075.94,9314
WNBGORV02,1076.61,11217.2
WNBGORV02,1077.17,13092.2
WNBGORV02,1077.74,15187.1
WNBGORV05,1190.69,0
WNBGORV05,1197.01,158.528
WNBGORV05,1201.01,792.673
WNBGORV05,1202.21,1585.35
WNBGORV05,1202.9,2378.02
WNBGORV05,1203.44,3170.69
